episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,1,0.0,0.0,5,0.0
1,maize,2,0.0,0.0,5,0.0
1,maize,3,0.0,0.0,5,0.0
1,maize,4,0.0,0.0,5,0.0
1,maize,5,0.0,0.0,5,0.0
1,maize,6,0.0,0.0,5,0.0
1,maize,7,0.0,0.0,5,0.0
1,maize,8,0.0,0.0,5,0.0
1,maize,9,0.0,0.0,5,0.0
1,maize,10,0.0,0.0,5,0.0
1,maize,11,0.0,0.0,10,0.0
1,maize,12,0.0,0.0,5,0.0
1,maize,13,0.0032,28.8,5,0.0
1,maize,14,0.0066,28.8,5,0.0
1,maize,15,0.0109,28.8,5,0.0
1,maize,16,0.0157,28.8,5,0.0
1,maize,17,0.0201,28.8,5,40
1,maize,18,0.0376,28.8,5,0
1,maize,19,0.0566,31.48,5,10
1,maize,20,0.0715,37.29,5,40
1,maize,21,0.0908,45.3,8,0
1,maize,22,0.1116,54.44,8,40
1,maize,23,0.1265,61.25,8,20
1,maize,24,0.1392,67.24,8,0.0
1,maize,25,0.1497,72.29,8,0.0
