episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy_water,entropy_nitrogen,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
1,maize,17.5538,17.5538,0.041696,1.545979,0.0329,0.7226,735.0,290.0,100.06,7175.0,1062.75,1062.75
2,maize,14.6371,16.0955,-0.10494,3.359826,0.0623,0.795,732.0,400.0,100.06,7364.7,1001.98,1032.36
3,maize,16.192,16.1276,0.078303,1.448224,0.0733,0.8926,734.0,455.0,100.06,6982.4,850.2,971.64
4,maize,14.6027,15.7464,-0.01113,2.04281,0.0793,0.9188,732.0,470.0,100.05,6444.3,701.87,904.2
5,maize,14.8406,15.5652,0.014539,1.306364,0.0728,0.769,730.0,330.0,100.05,6113.4,760.36,875.43
6,maize,16.4778,15.7173,0.086745,2.3586,0.0879,0.8064,742.0,420.0,100.05,7041.2,895.11,878.71
7,maize,18.4699,16.1106,0.153752,5.196853,0.0918,0.8632,737.0,375.0,100.06,7575.3,1076.63,906.99
8,maize,15.0889,15.9828,0.012504,0.383487,0.1083,0.964,739.0,390.0,100.06,6984.6,912.76,907.71
9,maize,21.1015,16.5516,0.137539,4.614354,0.0842,0.8299,735.0,260.0,100.06,7927.6,1280.9,949.17
10,maize,20.0352,16.8999,0.084919,2.01743,0.0945,0.8383,735.0,255.0,100.06,7515.4,1182.84,972.54
11,maize,16.5036,16.8639,-0.144365,3.724142,0.1166,0.9024,734.0,400.0,100.06,6847.3,871.41,963.35
12,maize,21.0861,17.2158,0.009833,0.673687,0.0779,0.795,739.0,310.0,100.06,8293.1,1319.88,993.06
13,maize,15.9446,17.118,-0.215894,6.12174,0.1213,0.8359,742.0,420.0,100.06,6904.3,860.88,982.89
14,maize,18.2102,17.196,-0.089748,1.908776,0.0963,0.8581,730.0,380.0,100.06,7193.7,980.43,982.71
15,maize,21.4026,17.4764,-0.020092,0.478805,0.0963,0.659,736.0,350.0,100.06,8272.7,1276.57,1002.31
16,maize,10.7945,17.0588,-0.469293,32.175831,0.1288,0.869,743.0,180.0,100.06,5276.9,693.43,983.0
17,maize,17.1397,17.0636,-0.191699,2.261705,0.126,0.8101,754.0,240.0,100.06,7570.2,1200.16,995.77
18,maize,16.7365,17.0454,-0.239805,4.008669,0.1402,0.9217,751.0,380.0,100.06,7147.4,956.24,993.58
19,maize,19.3465,17.1665,-0.095513,1.346123,0.1119,0.5609,744.0,120.0,100.06,7404.8,1284.81,1008.91
20,maize,20.5397,17.3352,0.011384,1.893189,0.1072,0.6969,748.0,210.0,100.06,7863.8,1307.15,1023.82
