episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy,total_water_mm,total_nitrogen_kgha,vs_baseline_pct
1,cotton,-118.4036,-118.4036,-9.271374,90.045586,1.214849,2450.0,210.0,22.5
2,maize,-57.8065,-88.1051,1.265685,65.158516,0.260178,1975.0,210.0,42.33
3,maize,-58.4646,-78.2249,0.191297,13.319201,0.257975,2040.0,210.0,48.8
4,maize,-60.4745,-73.7873,-0.409353,16.114681,0.288267,2075.0,210.0,51.7
5,maize,-59.6589,-70.9616,-0.742701,17.639748,0.272651,2080.0,210.0,53.55
6,maize,-58.3404,-68.8581,0.160817,21.628157,0.253602,2025.0,210.0,54.93
7,cotton,-116.8306,-75.7113,73.483513,7684.654785,1.088923,2420.0,210.0,50.45
8,cotton,-122.725,-81.588,74.575378,5918.685547,1.07734,2515.0,210.0,46.6
9,maize,-53.8616,-78.5073,-0.226633,12.4243,0.160728,1980.0,210.0,48.61
10,maize,-51.9136,-75.8479,-0.59577,23.042566,0.146987,1880.0,210.0,50.36
11,cotton,-121.6072,-80.0079,23.330275,827.823059,1.090309,2505.0,210.0,47.63
12,cotton,-119.6748,-83.3134,14.213528,345.292633,1.086603,2465.0,210.0,45.47
13,cotton,-122.3264,-86.3144,3.811439,66.358994,1.076056,2510.0,210.0,43.51
14,maize,-51.5025,-83.8279,-0.268231,10.947742,0.110071,1910.0,210.0,45.13
15,maize,-52.6064,-81.7464,0.076427,30.867947,0.113783,1915.0,210.0,46.49
16,cotton,-121.467,-84.229,-16.842958,401.385193,1.042422,2505.0,210.0,44.87
17,cotton,-118.3665,-86.2371,-14.364091,384.724152,1.013353,2425.0,210.0,43.56
18,cotton,-115.0441,-87.8375,-13.250046,323.169769,0.934512,2395.0,220.0,42.51
19,maize,-46.8188,-85.6786,0.087209,33.06282,0.067522,1845.0,210.0,43.92
20,cotton,-121.5527,-87.4723,-5.520359,271.86911,0.928548,2490.0,210.0,42.75
21,cotton,-110.6613,-88.5765,-4.004956,146.35463,0.813211,2340.0,210.0,42.02
22,maize,-53.3127,-86.9736,0.060101,98.22673,0.0457,1805.0,210.0,43.07
23,maize,-51.0086,-85.4099,0.50485,141.59581,0.03522,1885.0,210.0,44.1
24,maize,-47.5982,-83.8344,0.304512,104.718803,0.037386,1775.0,210.0,45.13
25,cotton,-111.8623,-84.9556,3.300035,69.070145,0.823702,2330.0,200.0,44.39
26,cotton,-113.8626,-86.0674,-0.182662,65.445824,0.826169,2365.0,210.0,43.67
27,maize,-49.3935,-84.7091,0.022463,11.952611,0.022556,1905.0,210.0,44.56
28,cotton,-119.0021,-85.9338,-1.473117,109.438438,0.961424,2430.0,200.0,43.75
29,maize,-48.1808,-84.632,-0.129974,25.361908,0.026012,1825.0,210.0,44.61
30,maize,-48.9271,-83.4418,-0.01575,21.574591,0.026854,1855.0,210.0,45.39
31,maize,-48.1976,-82.3049,-0.016879,24.047016,0.026937,1905.0,210.0,46.13
32,maize,-51.9438,-81.3561,-0.006479,26.476936,0.030076,1915.0,210.0,46.75
33,maize,-49.0251,-80.3764,-5e-05,13.851661,0.035851,1845.0,210.0,47.39
34,maize,-41.9361,-79.2458,-0.000983,23.444971,0.0438,1765.0,210.0,48.13
35,cotton,-112.0238,-80.1823,3.895744,210.040726,1.05268,2330.0,200.0,47.52
36,maize,-46.3546,-79.2427,0.046048,14.554289,0.051231,1835.0,210.0,48.13
37,cotton,-117.1644,-80.2676,0.823153,168.145981,1.060935,2455.0,220.0,47.46
38,cotton,-125.6149,-81.4609,-1.744796,91.433762,1.185322,2575.0,210.0,46.68
39,cotton,-116.4695,-82.3586,-5.538268,95.117668,1.129165,2405.0,240.0,46.09
40,maize,-46.4714,-81.4614,-0.209873,14.28239,0.056924,1845.0,210.0,46.68
