episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
1,maize,0,0.0,0.0,30.0,0.0
1,maize,0,0.0,0.0,20.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,10.0,0.0
1,maize,0,0.0,0.0,20.0,0.0
1,maize,0,0.0,0.0,30.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,10.0,0.0
1,maize,0,0.0,0.0,30.0,0.0
1,maize,0,0.0,0.0,30.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,30.0,0.0
1,maize,0,0.0,0.0,10.0,0.0
1,maize,0,0.0,0.0,10.0,0.0
1,maize,0,0.0,0.0,10.0,0.0
1,maize,0,0.0,0.0,40.0,0.0
1,maize,0,0.0,0.0,20.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,30.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,10.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,0.0,0.0
1,maize,0,0.0,0.0,10.0,0.0
1,maize,0,0.0,0.0,20.0,0.0
1,maize,1,0.0,0.0,40.0,0.0
1,maize,2,0.0,0.0,0.0,0.0
1,maize,3,0.0,0.0,40.0,0.0
1,maize,4,0.0,0.0,30.0,0.0
1,maize,5,0.0,0.0,10.0,0.0
1,maize,6,0.0,0.0,0.0,0.0
1,maize,7,0.0,0.0,40.0,0.0
1,maize,8,0.0,0.0,0.0,0.0
1,maize,9,0.0,0.0,30.0,0.0
1,maize,10,0.0,0.0,10.0,0.0
1,maize,11,0.0,0.0,10.0,0.0
1,maize,12,0.0,0.0,0.0,0.0
1,maize,13,0.0,0.0,30.0,0.0
1,maize,14,0.0,0.0,20.0,0.0
1,maize,15,0.0,0.0,30.0,0.0
1,maize,16,0.0,0.0,40.0,0.0
1,maize,17,0.0,0.0,10.0,0.0
1,maize,18,0.0,0.0,10.0,0.0
1,maize,19,0.0,0.0,30.0,0.0
1,maize,20,0.0022,28.8,30.0,0.0
1,maize,21,0.0038,28.8,40.0,0.0
1,maize,22,0.0069,28.8,10.0,0.0
1,maize,23,0.0096,28.8,0.0,0.0
1,maize,24,0.0124,28.8,40.0,0.0
1,maize,25,0.0172,28.8,0.0,0.0
1,maize,26,0.0216,28.8,30.0,0.0
1,maize,27,0.0352,28.8,40.0,0.0
1,maize,28,0.0509,29.36,30.0,0.0
1,maize,29,0.0687,36.2,20.0,0.0
