episode,crop,season_return,avg100_return,actor_loss,critic_loss,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
1,maize,-351.5153,-351.5153,,,3130.0,0.0,-49.68,6105.9,-351.52,-351.52
2,maize,-441.4974,-396.5063,,,3320.0,0.0,-62.39,6202.0,-441.5,-396.51
3,maize,-1452.0,-748.3376,,,2420.0,0.0,-205.19,0.0,-1452.0,-748.34
4,maize,-792.7831,-759.4489,,,3520.0,0.0,-112.04,5276.9,-792.78,-759.45
5,maize,-579.4747,-723.4541,,,3370.0,0.0,-81.89,5770.1,-579.47,-723.45
6,maize,-439.2065,-676.0795,,,3210.0,0.0,-62.07,5947.2,-439.21,-676.08
7,maize,-545.5016,-657.4255,,,3160.0,0.0,-77.09,5402.0,-545.5,-657.43
8,maize,-344.9682,-618.3684,,,3030.0,0.0,-48.75,5892.1,-344.97,-618.37
9,maize,-528.9778,-608.4361,,,3410.0,0.0,-74.75,6068.1,-528.98,-608.44
10,maize,-144.1696,-562.0094,,,2750.0,0.0,-20.37,6023.3,-144.17,-562.01
11,maize,-463.2998,-553.0358,,,3140.0,0.0,-65.47,5682.8,-463.3,-553.04
12,maize,-515.9994,-549.9494,,,3210.0,0.0,-72.92,5640.0,-516.0,-549.95
13,maize,-519.398,-547.5993,,,3350.0,0.0,-73.4,5962.4,-519.4,-547.6
14,maize,-456.0617,-541.0609,,,3300.0,0.0,-64.45,6095.8,-456.06,-541.06
15,maize,-431.8087,-533.7775,,,3240.0,0.0,-61.02,6048.8,-431.81,-533.78
16,maize,-593.434,-537.506,,,3450.0,0.0,-83.86,5906.3,-593.43,-537.51
17,maize,-264.2061,-521.4295,,,3040.0,0.0,-37.34,6239.2,-264.21,-521.43
18,maize,-419.3259,-515.7571,,,3140.0,0.0,-59.26,5858.7,-419.33,-515.76
19,maize,-535.3969,-516.7908,,,3350.0,0.0,-75.66,5898.4,-535.4,-516.79
20,maize,-562.3313,-519.0678,,,3260.0,0.0,-79.47,5574.7,-562.33,-519.07
21,maize,-181.8587,-503.0102,,,2990.0,0.0,-25.7,6448.6,-181.86,-503.01
22,maize,-465.7381,-501.316,,,3220.0,0.0,-65.82,5865.0,-465.74,-501.32
23,maize,-496.0731,-501.0881,,,3410.0,0.0,-70.1,6199.7,-496.07,-501.09
24,maize,-483.9282,-500.3731,,,3280.0,0.0,-68.39,5936.3,-483.93,-500.37
25,maize,-482.7688,-499.6689,,,3280.0,0.0,-68.22,5940.9,-482.77,-499.67
26,maize,-371.8007,-494.7509,,,3220.0,0.0,-52.54,6240.8,-371.8,-494.75
27,maize,-368.4208,-490.072,,,3210.0,0.0,-52.06,6230.3,-368.42,-490.07
28,maize,-506.1383,-490.6458,,,3370.0,0.0,-71.53,6063.4,-506.14,-490.65
29,maize,-610.8899,-494.7922,,,3420.0,0.0,-86.33,5764.4,-610.89,-494.79
30,maize,-208.9082,-485.2627,,,2950.0,0.0,-29.52,6244.4,-208.91,-485.26
31,maize,-862.0962,-497.4186,,,3780.0,0.0,-121.83,5623.6,-862.1,-497.42
32,maize,-673.3301,-502.9159,,,3450.0,0.0,-95.15,5586.7,-673.33,-502.92
33,maize,-434.2947,-500.8364,,,3180.0,0.0,-61.37,5894.8,-434.29,-500.84
34,maize,-219.7808,-492.5701,,,2910.0,0.0,-31.06,6104.9,-219.78,-492.57
35,maize,-485.0489,-492.3552,,,3370.0,0.0,-68.55,6147.8,-485.05,-492.36
36,maize,-918.1693,-504.1834,,,3580.0,0.0,-129.75,4919.3,-918.17,-504.18
37,maize,-393.7657,-501.1991,,,3060.0,0.0,-55.65,5768.9,-393.77,-501.2
38,maize,-793.8672,-508.9009,,,3690.0,0.0,-112.19,5680.5,-793.87,-508.9
39,maize,-620.1783,-511.7542,,,3310.0,0.0,-87.64,5463.3,-620.18,-511.75
40,maize,-381.9858,-508.51,,,3140.0,0.0,-53.98,6008.1,-381.99,-508.51
41,maize,-222.8268,-501.5421,,,3040.0,0.0,-31.49,6404.7,-222.83,-501.54
42,maize,-446.8845,-500.2407,,,3190.0,0.0,-63.15,5868.5,-446.88,-500.24
43,maize,-598.9175,-502.5355,,,3360.0,0.0,-84.64,5668.3,-598.92,-502.54
44,maize,-668.9422,-506.3175,,,3430.0,0.0,-94.53,5556.2,-668.94,-506.32
45,maize,12.7173,-494.7834,,,2760.0,0.0,1.8,6674.9,12.72,-494.78
46,maize,-331.6262,-491.2365,,,3010.0,0.0,-46.87,5897.5,-331.63,-491.24
47,maize,-244.4491,-485.9857,,,3030.0,0.0,-34.55,6294.2,-244.45,-485.99
48,maize,-466.4179,-485.578,,,3410.0,0.0,-65.91,6318.3,-466.42,-485.58
49,maize,-279.6251,-481.3749,,,3120.0,0.0,-39.52,6369.5,-279.63,-481.37
50,maize,-144.8733,-474.6449,,,2990.0,0.0,-20.47,6596.5,-144.87,-474.64
51,maize,-265.8262,-470.5504,,,2990.0,0.0,-37.57,6112.7,-265.83,-470.55
52,maize,-74.9395,-462.9425,,,2780.0,0.0,-10.59,6372.2,-74.94,-462.94
53,maize,-615.209,-465.8154,,,3560.0,0.0,-86.94,6083.2,-615.21,-465.82
54,maize,-591.9115,-468.1505,,,3400.0,0.0,-83.65,5792.4,-591.91,-468.15
55,maize,-132.1711,-462.0418,,,2740.0,0.0,-18.68,6047.3,-132.17,-462.04
56,maize,-310.473,-459.3352,,,3260.0,0.0,-43.88,6582.1,-310.47,-459.34
57,maize,-660.1938,-462.8591,,,3590.0,0.0,-93.3,5975.2,-660.19,-462.86
58,maize,-353.2886,-460.9699,,,3200.0,0.0,-49.93,6266.8,-353.29,-460.97
59,maize,-510.7329,-461.8134,,,3140.0,0.0,-72.18,5493.1,-510.73,-461.81
60,maize,-550.6964,-463.2948,,,3410.0,0.0,-77.82,5981.2,-550.7,-463.29
61,maize,-226.3842,-459.411,,,2980.0,0.0,-31.99,6246.5,-226.38,-459.41
62,maize,-465.9071,-459.5158,,,3160.0,0.0,-65.84,5720.4,-465.91,-459.52
63,maize,-563.7614,-461.1704,,,3210.0,0.0,-79.67,5449.0,-563.76,-461.17
64,maize,-525.7058,-462.1788,,,3390.0,0.0,-74.29,6033.2,-525.71,-462.18
65,maize,-467.9843,-462.2681,,,3260.0,0.0,-66.13,5952.1,-467.98,-462.27
66,maize,-281.0956,-459.5231,,,3020.0,0.0,-39.72,6123.6,-281.1,-459.52
67,maize,-558.6691,-461.0029,,,3250.0,0.0,-78.95,5565.3,-558.67,-461.0
68,maize,-581.8945,-462.7807,,,3330.0,0.0,-82.23,5664.4,-581.89,-462.78
69,maize,-543.5551,-463.9513,,,3300.0,0.0,-76.81,5745.8,-543.56,-463.95
70,maize,-659.8306,-466.7496,,,3310.0,0.0,-93.25,5304.7,-659.83,-466.75
71,maize,-767.0334,-470.979,,,3700.0,0.0,-108.4,5811.9,-767.03,-470.98
72,maize,-531.0289,-471.813,,,3320.0,0.0,-75.04,5843.9,-531.03,-471.81
73,maize,-243.8553,-468.6903,,,3140.0,0.0,-34.46,6560.6,-243.86,-468.69
74,maize,-388.081,-467.601,,,3230.0,0.0,-54.84,6199.7,-388.08,-467.6
75,maize,-247.2054,-464.6624,,,3050.0,0.0,-34.93,6331.2,-247.21,-464.66
76,maize,-605.7928,-466.5193,,,3310.0,0.0,-85.61,5520.8,-605.79,-466.52
77,maize,-544.2776,-467.5292,,,3250.0,0.0,-76.92,5622.9,-544.28,-467.53
78,maize,-799.5564,-471.7859,,,3810.0,0.0,-112.99,5945.8,-799.56,-471.79
79,maize,-424.8019,-471.1912,,,3180.0,0.0,-60.03,5932.8,-424.8,-471.19
80,maize,-621.2438,-473.0669,,,3510.0,0.0,-87.79,5939.0,-621.24,-473.07
81,maize,-279.8905,-470.682,,,3060.0,0.0,-39.55,6224.4,-279.89,-470.68
82,maize,-440.1006,-470.309,,,3270.0,0.0,-62.19,6087.6,-440.1,-470.31
83,maize,-281.4552,-468.0337,,,3100.0,0.0,-39.77,6314.2,-281.46,-468.03
84,maize,-527.3542,-468.7399,,,3270.0,0.0,-74.53,5738.6,-527.35,-468.74
85,maize,-510.2333,-469.228,,,3170.0,0.0,-72.11,5567.1,-510.23,-469.23
86,maize,-621.0854,-470.9938,,,3290.0,0.0,-87.77,5411.7,-621.09,-470.99
87,maize,-218.9126,-468.0963,,,2780.0,0.0,-30.94,5796.3,-218.91,-468.1
88,maize,-452.9052,-467.9237,,,3210.0,0.0,-64.0,5892.4,-452.91,-467.92
89,maize,-323.8202,-466.3046,,,2850.0,0.0,-45.76,5544.7,-323.82,-466.3
90,maize,-449.0555,-466.1129,,,3250.0,0.0,-63.46,6003.8,-449.06,-466.11
91,maize,-564.3058,-467.192,,,3480.0,0.0,-79.75,6094.8,-564.31,-467.19
92,maize,-454.5578,-467.0546,,,3420.0,0.0,-64.24,6389.8,-454.56,-467.05
93,maize,-196.8897,-464.1496,,,3090.0,0.0,-27.82,6628.4,-196.89,-464.15
94,maize,-480.2441,-464.3208,,,3160.0,0.0,-67.87,5663.0,-480.24,-464.32
95,maize,-336.6446,-462.9769,,,3250.0,0.0,-47.57,6453.4,-336.64,-462.98
96,maize,-497.7462,-463.3391,,,3240.0,0.0,-70.34,5785.0,-497.75,-463.34
97,maize,-656.9402,-465.335,,,3340.0,0.0,-92.84,5388.2,-656.94,-465.33
98,maize,-528.4877,-465.9794,,,3330.0,0.0,-74.69,5878.0,-528.49,-465.98
99,maize,-444.0894,-465.7583,,,3050.0,0.0,-62.76,5543.6,-444.09,-465.76
100,maize,-574.9126,-466.8498,,,3290.0,0.0,-81.25,5596.3,-574.91,-466.85
101,maize,-446.1055,-467.7957,,,3430.0,0.0,-63.04,6447.6,-446.11,-467.8
102,maize,-537.0847,-468.7516,,,3360.0,0.0,-75.9,5915.7,-537.08,-468.75
103,maize,-406.748,-458.2991,,,2950.0,0.0,-57.48,5453.0,-406.75,-458.3
104,maize,-496.2979,-455.3342,,,3170.0,0.0,-70.14,5622.8,-496.3,-455.33
105,maize,-392.5473,-453.4649,,,3100.0,0.0,-55.47,5869.8,-392.55,-453.46
106,maize,-328.6889,-452.3598,,,3060.0,0.0,-46.45,6029.2,-328.69,-452.36
107,maize,-692.3133,-453.8279,,,3410.0,0.0,-97.84,5414.7,-692.31,-453.83
108,maize,-156.5252,-451.9434,,,3040.0,0.0,-22.12,6669.9,-156.53,-451.94
109,maize,-514.2899,-451.7966,,,3040.0,0.0,-72.68,5238.8,-514.29,-451.8
110,maize,-556.0143,-455.915,,,3410.0,0.0,-78.58,5959.9,-556.01,-455.92
111,maize,-134.7547,-452.6296,,,2990.0,0.0,-19.04,6637.0,-134.75,-452.63
112,maize,-341.149,-450.8811,,,3090.0,0.0,-48.21,6051.4,-341.15,-450.88
113,maize,-549.4038,-451.1811,,,3460.0,0.0,-77.64,6106.4,-549.4,-451.18
114,maize,-583.8079,-452.4586,,,3520.0,0.0,-82.5,6112.8,-583.81,-452.46
115,maize,-387.0786,-452.0113,,,3140.0,0.0,-54.7,5987.7,-387.08,-452.01
116,maize,-291.5232,-448.9922,,,3090.0,0.0,-41.2,6249.9,-291.52,-448.99
117,maize,-347.4973,-449.8251,,,3150.0,0.0,-49.11,6170.0,-347.5,-449.83
118,maize,-356.5909,-449.1977,,,3200.0,0.0,-50.39,6253.6,-356.59,-449.2
119,maize,-598.7127,-449.8309,,,3380.0,0.0,-84.61,5717.1,-598.71,-449.83
120,maize,-349.4319,-447.7019,,,2970.0,0.0,-49.38,5730.3,-349.43,-447.7
121,maize,-472.7964,-450.6113,,,3270.0,0.0,-66.82,5956.8,-472.8,-450.61
122,maize,-295.4226,-448.9081,,,3210.0,0.0,-41.75,6522.3,-295.42,-448.91
123,maize,-405.1247,-447.9986,,,3270.0,0.0,-57.25,6227.5,-405.12,-448.0
124,maize,-579.7031,-448.9564,,,3550.0,0.0,-81.92,6201.2,-579.7,-448.96
125,maize,-592.3528,-450.0522,,,3500.0,0.0,-83.71,6030.6,-592.35,-450.05
126,maize,-468.7085,-451.0213,,,3250.0,0.0,-66.24,5925.2,-468.71,-451.02
127,maize,-304.4683,-450.3818,,,3170.0,0.0,-43.03,6390.1,-304.47,-450.38
128,maize,-581.2013,-451.1324,,,3330.0,0.0,-82.13,5667.2,-581.2,-451.13
129,maize,-579.1674,-450.8152,,,3460.0,0.0,-81.85,5987.3,-579.17,-450.82
130,maize,-539.6087,-454.1222,,,3440.0,0.0,-76.26,6097.6,-539.61,-454.12
131,maize,-506.1298,-450.5625,,,3320.0,0.0,-71.53,5943.5,-506.13,-450.56
132,maize,-351.7476,-447.3467,,,2880.0,0.0,-49.71,5505.0,-351.75,-447.35
133,maize,-269.7968,-445.7017,,,2860.0,0.0,-38.13,5784.8,-269.8,-445.7
134,maize,-372.7369,-447.2313,,,3080.0,0.0,-52.67,5901.1,-372.74,-447.23
135,maize,-374.8978,-446.1298,,,3240.0,0.0,-52.98,6276.4,-374.9,-446.13
136,maize,-438.3366,-441.3314,,,3180.0,0.0,-61.95,5878.7,-438.34,-441.33
137,maize,-558.506,-442.9788,,,3100.0,0.0,-78.93,5206.0,-558.51,-442.98
138,maize,-761.812,-442.6583,,,3260.0,0.0,-107.66,4776.8,-761.81,-442.66
139,maize,-574.4539,-442.201,,,3400.0,0.0,-81.18,5862.2,-574.45,-442.2
140,maize,-597.0574,-444.3518,,,3340.0,0.0,-84.38,5627.8,-597.06,-444.35
141,maize,-465.8692,-446.7822,,,3120.0,0.0,-65.84,5624.5,-465.87,-446.78
142,maize,-305.2083,-445.3654,,,3270.0,0.0,-43.13,6627.2,-305.21,-445.37
143,maize,-631.5943,-445.6922,,,3050.0,0.0,-89.26,4793.6,-631.59,-445.69
144,maize,27.5896,-438.7269,,,2760.0,0.0,3.9,6734.4,27.59,-438.73
145,maize,-515.0514,-444.0046,,,3180.0,0.0,-72.79,5571.8,-515.05,-444.0
146,maize,-413.0275,-444.8186,,,3150.0,0.0,-58.37,5907.9,-413.03,-444.82
147,maize,-261.2145,-444.9862,,,3070.0,0.0,-36.91,6323.1,-261.21,-444.99
148,maize,-172.1583,-442.0436,,,2880.0,0.0,-24.33,6223.4,-172.16,-442.04
149,maize,-227.362,-441.521,,,3030.0,0.0,-32.13,6362.6,-227.36,-441.52
150,maize,-376.5316,-443.8376,,,3130.0,0.0,-53.21,6005.9,-376.53,-443.84
151,maize,-298.9226,-444.1685,,,3150.0,0.0,-42.24,6364.3,-298.92,-444.17
152,maize,-448.5643,-447.9048,,,3170.0,0.0,-63.39,5813.7,-448.56,-447.9
153,maize,-459.4935,-446.3476,,,3160.0,0.0,-64.94,5746.0,-459.49,-446.35
154,maize,51.6994,-439.9115,,,2600.0,0.0,7.31,6446.8,51.7,-439.91
155,maize,-612.7578,-444.7174,,,3440.0,0.0,-86.59,5805.0,-612.76,-444.72
156,maize,-666.8484,-448.2812,,,3340.0,0.0,-94.24,5348.6,-666.85,-448.28
157,maize,-455.846,-446.2377,,,3110.0,0.0,-64.42,5640.6,-455.85,-446.24
158,maize,-168.4562,-444.3894,,,2990.0,0.0,-23.81,6502.2,-168.46,-444.39
159,maize,-95.1181,-440.2332,,,2800.0,0.0,-13.44,6339.5,-95.12,-440.23
160,maize,-428.685,-439.0131,,,3170.0,0.0,-60.58,5893.3,-428.69,-439.01
161,maize,-336.7919,-440.1172,,,3190.0,0.0,-47.6,6308.8,-336.79,-440.12
162,maize,-398.7498,-439.4456,,,3300.0,0.0,-56.35,6325.0,-398.75,-439.45
163,maize,-588.2327,-439.6903,,,3530.0,0.0,-83.13,6119.1,-588.23,-439.69
164,maize,-369.4501,-438.1277,,,3150.0,0.0,-52.21,6082.2,-369.45,-438.13
165,maize,-97.6889,-434.4248,,,2820.0,0.0,-13.81,6377.2,-97.69,-434.42
166,maize,-380.0471,-435.4143,,,3100.0,0.0,-53.71,5919.8,-380.05,-435.41
167,maize,-192.6339,-431.754,,,3130.0,0.0,-27.22,6741.5,-192.63,-431.75
168,maize,-839.0974,-434.326,,,3580.0,0.0,-118.58,5235.6,-839.1,-434.33
169,maize,-576.2947,-434.6534,,,3430.0,0.0,-81.44,5926.8,-576.29,-434.65
170,maize,-327.9306,-431.3344,,,3080.0,0.0,-46.34,6080.3,-327.93,-431.33
171,maize,-592.0287,-429.5843,,,3270.0,0.0,-83.66,5479.9,-592.03,-429.58
